id,"typ",parent_id,"handle","name","site_url","thumbnail",carousel_include,"carousel_description","carousel_image_file_name","carousel_image_content_type",carousel_image_file_size,"carousel_image_updated_at","created_at","updated_at"
344,"archive",338,"bmtn_bmtnaam","Blue Mountain Project: Gegenstand, Internationale Rundschau der Kunst der Gegenwart","http://bluemountain.princeton.edu/","http://bluemountain.princeton.edu/resources/images/logo.png",NULL,"",NULL,NULL,NULL,NULL,"2017-02-13 03:07:53","2017-02-13 03:07:53"
345,"archive",338,"bmtn_bmtnaar","Blue Mountain Project: East & West","http://bluemountain.princeton.edu/","http://bluemountain.princeton.edu/resources/images/logo.png",NULL,"",NULL,NULL,NULL,NULL,"2017-02-13 03:08:36","2017-02-13 03:08:36"
346,"archive",338,"bmtn_bmtnabe","Blue Mountain Project: Pan","http://bluemountain.princeton.edu/","http://bluemountain.princeton.edu/resources/images/logo.png",NULL,"",NULL,NULL,NULL,NULL,"2017-02-13 03:09:09","2017-02-13 03:09:09"
347,"archive",338,"bmtn_bmtnabf","Blue Mountain Project: Ver Sacrum","http://bluemountain.princeton.edu/","http://bluemountain.princeton.edu/resources/images/logo.png",NULL,"",NULL,NULL,NULL,NULL,"2017-02-13 03:09:46","2017-02-13 03:09:46"
348,"archive",374,"europeana_20","Wurzburg University Library","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=Universit%C3%A4tsbibliothek+W%C3%BCrzburg&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 15:58:11","2017-07-14 16:32:42"
349,"archive",374,"europeana_a_wn","National Library of Austria","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=%C3%96sterreichische+Nationalbibliothek+-+Austrian+National+Library&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 15:59:04","2017-07-14 16:34:40"
350,"archive",374,"europeana_bg_son","National Library of Bulgaria","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=National+Library+of+Bulgaria&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 15:59:40","2017-07-14 16:34:47"
351,"archive",374,"europeana_biblioteca_valenciana","Public Library of Valencia","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=Biblioteca+Valenciana+Digital&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 16:00:17","2017-07-14 16:33:24"
352,"archive",374,"europeana_d_bim","State Institute for Music Research Library","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=Musikinstrumenten-Museum%2C+Staatliches+Institut+f%C3%BCr+Musikforschung&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 16:00:51","2017-07-14 16:33:00"
353,"archive",374,"europeana_d_dumb","Central Library of Dusseldorf","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=Universit%C3%A4ts-+und+Landesbibliothek+D%C3%BCsseldorf&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 16:01:27","2017-07-14 16:36:00"
354,"archive",374,"europeana_d_hah","Handel House","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=Stiftung+H%C3%A4ndel-Haus+Halle&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 16:02:01","2017-07-14 16:34:08"
355,"archive",374,"europeana_d_heu","Heidelberg University Library","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=Universit%C3%A4tsbibliothek+Heidelberg&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 16:02:36","2017-07-14 16:33:16"
356,"archive",374,"europeana_deutsche_fotothek","German Photo Library","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=Deutsche+Fotothek&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 16:03:09","2017-07-14 16:33:08"
357,"archive",374,"europeana_dk_kk","Royal Library of Denmark","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=The+Royal+Library%3A+The+National+Library+of+Denmark%0A++++and+Copenhagen+University+Library&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 16:03:56","2017-07-14 16:33:39"
358,"archive",374,"europeana_f_pinha","National Institute of Art Library, Paris","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=Biblioth%C3%A8que+de+l%27INHA&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 16:04:33","2017-07-14 16:33:32"
359,"archive",374,"europeana_f_pn","National Library of France","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=National+Library+of+France&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 16:05:06","2017-07-14 16:34:15"
360,"archive",374,"europeana_gb_lbl","British Library","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=The+British+Library&q=","https://upload.wikimedia.org/wikipedia/commons/4/46/EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 16:05:39","2017-07-31 15:32:58"
361,"archive",374,"europeana_gb_ob","Bodleian Library","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=Bodleian+Libraries%2C+University+of+Oxford&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 16:06:12","2017-07-14 16:34:01"
362,"archive",374,"europeana_h_dre","Debrecen University Library","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=The+University+and+National+Library+of+Debrecen&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 16:06:46","2017-07-14 16:34:22"
363,"archive",374,"europeana_joods_historisch_museum","Jewish Historical Museum, Amsterdam","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=Joods+Historisch+Museum%2C+Amsterdam&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 16:07:23","2017-07-14 16:32:52"
364,"archive",374,"europeana_livrustkammaren","Royal Armoury, Sweden","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=Livrustkammaren&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 16:07:57","2017-07-14 16:34:30"
365,"archive",374,"europeana_malmo_museer","Malmo Art Museum","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=Malm%C3%B6+museer&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 16:14:52","2017-07-14 16:34:54"
366,"archive",374,"europeana_musikinstrumenten_museum","Music Instrument Museum, Berlin","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=Musikinstrumenten-Museum%2C+Staatliches+Institut+f%C3%BCr+Musikforschung&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 16:15:23","2017-07-14 16:33:47"
367,"archive",374,"europeana_nl_arrl","Rijksmuseum","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=Rijksmuseum&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 16:15:54","2017-07-14 16:35:43"
368,"archive",374,"europeana_p_cuc","Coimbra University Library","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=Universidade+de+Coimbra+-+Servi%C3%A7o+Integrado+das+Bibliotecas&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 16:16:28","2017-07-14 16:35:01"
369,"archive",374,"europeana_p_pm","City Library of Porto","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=Biblioteca+P%C3%BAblica+Municipal+do+Porto&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 16:17:01","2017-07-14 16:35:23"
370,"archive",374,"europeana_pl_wm","National Museum, Warsaw","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=Muzeum+Narodowe+w+Warszawie&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 16:17:33","2017-07-14 16:35:09"
371,"archive",374,"europeana_regione_del_veneto","Church of St. Mary of the Consolation, Venice","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=Regione+del+Veneto%2C+Il+Fondo+musicale+della+Chiesa+di+S.+Maria+della+Consolazione+di+Venezia&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 16:18:25","2017-07-14 16:35:16"
372,"archive",374,"europeana_repositorio_andalucia","Andalucian Virtual Library","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=Repositorio+Biblioteca+virtual+de+Andaluc%C3%ADa&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 16:19:05","2017-07-14 16:35:53"
373,"archive",374,"europeana_vanersborgs_museum","Vanersborgs Museum","http://www.europeana.eu/portal/en/search?f%5BDATA_PROVIDER%5D%5B%5D=V%C3%A4nersborgs+museum&q=","https://commons.wikimedia.org/wiki/Category:Europeana#/media/File:EU_basic_logo_portrait_black.png",NULL,"",NULL,NULL,NULL,NULL,"2017-07-14 16:19:36","2017-07-14 16:35:32"
374,"node",41,NULL,"Europeana",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2017-07-14 16:32:12","2017-07-14 16:32:12"
376,"archive",41,"labadie","University of Michigan: Joseph A. Labadie Collection","https://www.lib.umich.edu/labadie-collection","",NULL,"The University of Michigan’s Joseph A. Labadie Collection “document[s] the history of social protest movements and marginalized political communities from the 19th century to the present.”","labadie.jpg","image/jpeg",20811,"2017-11-15 22:20:10","2017-10-09 18:26:19","2017-11-15 22:20:12"
377,"archive",41,"isu_voe","Illinois State University: Voices of Extremism Collection","http://digital.library.illinoisstate.edu/cdm/landingpage/collection/p15990coll1","",NULL,"The Illinois State University’s Voices of Extremism collection provides audio recordings of interviews with prominent figures in extremist organizations and speeches from political rallies. The collection covers the period of time between 1946 and 1980, reflecting both Far Left and Far Right movements.","voe.jpeg","image/jpeg",18268,"2017-11-15 22:19:33","2017-10-09 18:31:09","2017-11-15 22:19:35"
378,"archive",2,"the_occom_circle","The Occom Circle","http://www.dartmouth.edu/~occom/","http://idhmcmain.tamu.edu/image-store/Occom.png",NULL,"",NULL,NULL,NULL,NULL,"2017-11-01 17:35:38","2017-11-01 17:35:38"
379,"node",0,NULL,"SiRO Exhibits",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2017-11-13 17:22:07","2017-11-13 17:22:07"
380,"archive",379,"exhibit_SiRO_2","The Journal for the Study of Radicalism","/groups/JSR","/assets/sro/lg_site_image-3b4459808277949224a5e2392f293315.gif",NULL,NULL,NULL,NULL,NULL,NULL,"2017-11-13 17:22:07","2017-11-18 03:38:13"
381,"archive",225,"msuamrad_aim","Michigan State University Libraries: American Indian Movement","https://lib.msu.edu/branches/dmc/collectionbrowse/?coll=24&par=1","",NULL,"",NULL,NULL,NULL,NULL,"2017-11-15 21:18:26","2017-11-15 21:18:26"
382,"archive",225,"msuamrad_kkk","Michigan State University Libraries: Ku Klux Klan","https://lib.msu.edu/branches/dmc/collectionbrowse/?coll=22&par=1","",NULL,"",NULL,NULL,NULL,NULL,"2017-11-15 22:15:26","2017-11-15 22:15:26"
383,"archive",225,"msuamrad_wk","Michigan State University Libraries: Wounded Knee","https://lib.msu.edu/branches/dmc/collectionbrowse/?coll=29&par=1","",NULL,"",NULL,NULL,NULL,NULL,"2017-11-15 22:16:23","2017-11-15 22:16:23"
384,"archive",379,"exhibit_SiRO_3","The Journal for the Study of Radicalism","/groups/3","/photos_full/1/original/50-214-5-78-JSR-Banner_2013.jpg?2017",NULL,NULL,NULL,NULL,NULL,NULL,"2017-11-18 03:24:02","2017-12-21 17:31:01"
385,"archive",379,"exhibit_SiRO_5","Peer-Reviewed Exhibits","/groups/5","/photos_full/3/original/peer-reviewed_exhibits.jpg?2018",NULL,NULL,NULL,NULL,NULL,NULL,"2018-02-01 02:02:17","2018-05-14 15:28:56"
386,"archive",94,"am_apartheid","Adam Matthew Digital: Apartheid South Africa 1948-1980","http://www.archivesdirect.amdigital.co.uk/Apartheid","",NULL,"Apartheid South Africa provides comprehensive coverage of the British files on the apartheid Governments of South Africa from 1948 onward. This is a subscription-based collection made available through Adam Matthew Digital.","am_apartheid.jpg","image/jpeg",140590,"2018-02-07 17:15:28","2018-02-07 17:15:04","2018-02-07 17:15:29"
387,"archive",41,"aas","American Antiquarian Society","http://www.americanantiquarian.org/","http://docker01.dh.tamu.edu/files/ARC/aas_logo.png",NULL,"",NULL,NULL,NULL,NULL,"2018-03-07 20:05:41","2018-03-07 20:05:41"
388,"archive",41,"crdl","Civil Rights Digital Library","http://crdl.usg.edu/","",NULL,"Description: The Civil Rights Digital Library promotes an enhanced understanding of the Civil Rights Movement by helping users discover primary sources and other educational materials from libraries, archives, museums, public broadcasters, and others on a national scale.","crdl_carousel.jpg","image/jpeg",68945,"2018-04-09 14:35:54","2018-04-09 14:35:23","2018-04-09 14:35:55"
389,"archive",2,"visual_haggard","Visual Haggard","http://www.visualhaggard.org","",NULL,"",NULL,NULL,NULL,NULL,"2018-09-28 16:58:17","2018-09-28 16:58:17"
390,"archive",94,"amdsocfilm","Socialism on Film","http://www.socialismonfilm.amdigital.co.uk/","",NULL,"",NULL,NULL,NULL,NULL,"2018-10-18 14:54:59","2018-10-18 14:54:59"
391,"node",41,NULL,"Reveal Digital",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2018-11-16 18:28:15","2018-11-16 18:28:15"
392,"archive",391,"reveal-voices","Independent Voices","https://voices.revealdigital.com/","",NULL,"",NULL,NULL,NULL,NULL,"2018-11-16 18:29:06","2018-11-16 18:29:06"
393,"archive",2,"osu_rbms_ulman","Ohio State University Digital Editions","https://kb.osu.edu/handle/1811/75379","",NULL,"",NULL,NULL,NULL,NULL,"2018-11-19 15:18:30","2018-11-19 15:18:30"
394,"archive",391,"reveal-kkk","Ku Klux Klan Newspapers","http://revealdigital.com/kkk-newspapers/","",NULL,"",NULL,NULL,NULL,NULL,"2018-11-19 20:55:51","2018-11-19 20:55:51"
395,"archive",41,"tec","The Empty Closet","https://digitalcollections.lib.rochester.edu/ur/empty-closet-1971-current","https://digitalcollections.lib.rochester.edu/ur/empty-closet-no-516-october-2017/datastream/TN/view",NULL,"",NULL,NULL,NULL,NULL,"2019-10-25 21:05:50","2019-10-25 21:05:50"
396,"archive",41,"rad_america","Radical America","https://repository.library.brown.edu/studio/collections/id_594/","https://repository.library.brown.edu/viewers/image/thumbnail/bdr:89225/",NULL,"",NULL,NULL,NULL,NULL,"2019-11-06 15:11:37","2019-11-06 15:11:37"
397,"archive",41,"sahl","Ted Sahl Collection","http://digitalcollections.sjlibrary.org/cdm/search/collection/sjsusahl","http://digitalcollections.sjlibrary.org/cdm/singleitem/collection/sjsusahl/id/701/rec/4",NULL,"",NULL,NULL,NULL,NULL,"2019-12-03 21:08:37","2019-12-03 21:08:37"
398,"archive",41,"ecep","Eighteenth-Century Poetry Archive","https://www.eighteenthcenturypoetry.org/","",NULL,"",NULL,NULL,NULL,NULL,"2020-01-14 16:36:04","2020-01-14 16:36:04"
399,"archive",41,"jac","Jeff Albertson Collection","https://credo.library.umass.edu/view/collection/muph057","https://credo.library.umass.edu/images/resize/300x300/muph057-b003-sl412-i007-001.png",NULL,"",NULL,NULL,NULL,NULL,"2020-01-27 20:30:07","2020-01-27 20:30:07"
400,"archive",41,"aim","American Indian Movement","https://dp.la/search?q=american+indian+movement","",NULL,"",NULL,NULL,NULL,NULL,"2020-07-22 15:10:47","2020-07-22 15:10:47"
401,"archive",41,"trm","Tulsa Race Massacre of 1921","https://dc.library.okstate.edu/digital/collection/TulsaRR","",NULL,"",NULL,NULL,NULL,NULL,"2020-08-24 16:09:32","2020-08-24 16:09:32"
402,"archive",41,"densho","Densho Digital Archives Collection","https://densho.org/archives/","https://ddr.densho.org/assets/20170206/images/denshoLogo-black-notext-150x104.png",NULL,"",NULL,NULL,NULL,NULL,"2020-08-24 16:27:02","2020-08-24 16:27:02"
